date_production,site,ligne_production,type_piece,ordre_fabrication,quantite_produite,quantite_conforme,quantite_non_conforme,temps_cycle_min,delai_prevu_jours,delai_reel_jours,statut_livraison,type_anomalie,gravite_anomalie,cout_non_qualite,operateur_equipe,shift,taux_disponibilite_machine,temperature_machine,vibration_machine,taux_conformite,taux_non_conformite,retard_livraison,mois_production,annee_mois,productivite_par_heure,ecart_delai_jours,presence_anomalie,anomalie_critique,anomalie_stats_temps_cycle_min,anomalie_stats_cout_non_qualite,anomalie_stats_temperature_machine,anomalie_stats_vibration_machine
2024-01-01,Rochefort,Ligne A330,Sous-ensemble composite,OF-2024-008892,57,53,4,43.98,4,5,En retard,Défaut dimensionnel,Mineure,1273.17,Équipe Alpha,Après-midi,0.9313,55.58,1.58,0.9298245614035088,0.07017543859649122,True,2024-01,2024-01-01,72.3055934515689,1,True,False,False,False,False,False
2024-01-01,Casablanca,Ligne A330,Porte avion,OF-2025-009385,62,60,2,52.82,4,4,À l'heure,Panne machine,Majeure,981.79,Équipe Bravo,Après-midi,0.8635,74.36,2.84,0.967741935483871,0.03225806451612903,False,2024-01,2024-01-01,68.15600151457781,0,True,False,False,False,False,False
2024-01-01,Casablanca,Ligne A350,Panneau fuselage,OF-2025-002463,56,54,2,62.88,6,5,À l'heure,Panne machine,Critique,1644.88,Équipe Delta,Nuit,0.9079,73.18,3.66,0.9642857142857143,0.03571428571428571,False,2024-01,2024-01-01,51.52671755725191,-1,True,True,False,False,False,False
2024-01-01,Casablanca,Ligne A320,Sous-ensemble composite,OF-2025-010801,63,57,6,49.5,10,16,En retard,Retouche peinture,Mineure,2506.24,Équipe Bravo,Après-midi,0.995,63.42,2.78,0.9047619047619048,0.09523809523809523,True,2024-01,2024-01-01,69.0909090909091,6,True,False,False,False,False,False
2024-01-01,Casablanca,Ligne Assemblage Cabine,Porte avion,OF-2024-003332,51,49,2,55.85,3,3,À l'heure,Défaut dimensionnel,Mineure,876.77,Équipe Alpha,Matin,0.9365,57.08,2.06,0.9607843137254902,0.0392156862745098,False,2024-01,2024-01-01,52.641002685765436,0,True,False,False,False,False,False
2024-01-01,Montoir-de-Bretagne,Ligne A320,Plancher cabine,OF-2025-011033,63,61,2,21.28,6,6,À l'heure,Non-conformité matière,Mineure,932.49,Équipe Delta,Nuit,0.9021,65.51,2.14,0.9682539682539683,0.031746031746031744,False,2024-01,2024-01-01,171.99248120300751,0,True,False,False,False,False,False
2024-01-01,Montoir-de-Bretagne,Ligne A320,Plancher cabine,OF-2025-000673,58,58,0,29.05,6,6,À l'heure,Aucune,Aucune,0.0,Équipe Delta,Matin,0.9443,75.9,2.56,1.0,0.0,False,2024-01,2024-01-01,119.79345955249569,0,False,False,False,False,False,False
2024-01-01,Rochefort,Ligne Composite,Sous-ensemble composite,OF-2025-007781,59,55,4,63.43,6,6,À l'heure,Non-conformité matière,Critique,2418.47,Équipe Bravo,Après-midi,0.9482,76.43,1.99,0.9322033898305084,0.06779661016949153,False,2024-01,2024-01-01,52.02585527352988,0,True,True,False,False,False,False
2024-01-01,Casablanca,Ligne A350,Panneau fuselage,OF-2024-006880,44,42,2,63.97,10,9,À l'heure,Écart documentaire,Majeure,966.74,Équipe Alpha,Après-midi,0.8649,69.55,2.42,0.9545454545454546,0.045454545454545456,False,2024-01,2024-01-01,39.3934656870408,-1,True,False,False,False,False,False
2024-01-01,Casablanca,Ligne A350,Sous-ensemble composite,OF-2025-003389,60,58,2,68.21,11,16,En retard,Défaut dimensionnel,Mineure,879.29,Équipe Charlie,Matin,0.9329,67.0,2.18,0.9666666666666667,0.03333333333333333,True,2024-01,2024-01-01,51.018912182964385,5,True,False,False,False,False,False
